"(Intercept)","X1","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X2","X20","X3","X4","X5","X6","X7","X8","X9","sim","n"
8.930349674423e-38,1.1974334430802e-36,1.06953311185875e-37,7.11513673803668e-38,7.77171248293937e-38,6.54857051762735e-38,6.79360469030995e-38,1.36819214334459e-37,6.55039110636356e-38,1.02723432927246e-37,6.10525299161048e-38,6.61373966280507e-38,3.27434731083537e-34,1.01000516925734e-37,9.34897741511356e-29,9.91131276790235e-15,0.764721556488089,0.00711504662249112,84589047681789.5,1.26924439712414e-37,8.41229551722702e-38,47,750
3.68052652903437e-39,4.8055488714747e-38,8.41494338012329e-40,7.9705623514429e-40,6.90116716703233e-40,6.72733195838701e-40,1.02850939680924e-39,6.70531449508491e-40,1.3562304997779e-39,7.74362336599326e-40,2.02325822121209e-39,6.70810368359046e-40,1.78554168630567e-34,6.73010522135005e-40,5.67248860621432e-29,6.39814767659329e-22,23.0357021561933,8113284633.67953,194118720843258304,1.16644743122892e-39,1.02747885515197e-39,48,750
7.39077357530077e-40,9.56468120426256e-40,6.8595548086631e-41,2.90533090348328e-40,2.00323051516572e-40,1.03024337627443e-40,3.91670690405438e-40,1.30827874820942e-40,1.21376311603549e-40,7.00105676096267e-41,7.79405204662324e-41,7.57718128801203e-41,4.44723869638376e-36,6.75235101697579e-41,7.64161346655871e-30,1.32678107257413e-09,7.19474896219559e-07,29.796371099074,111922947608842928,9.91445164795486e-41,9.40502187677954e-41,49,750
9.74252785755633e-37,3.19415993939885e-35,4.28754099235057e-35,4.08337020527524e-36,9.69069035718804e-37,4.67050828472076e-35,1.16411224481373e-36,1.10306331644562e-36,5.74799105530829e-36,1.01121223090078e-36,1.03505998323615e-36,4.01359314058264e-36,5.11690477444464e-30,9.92418109095627e-37,6.53169272839564e-29,1.13006074161797e-11,53650600916.906,114332.131021617,204366476925127232,4.98289666407857e-36,3.67391395515084e-36,50,750
3.31511210648722e-39,6.85864749077029e-38,5.13155735891566e-39,3.47332920370135e-39,6.89216130843715e-39,3.54573975134594e-39,3.33885868844492e-39,4.28782710484476e-39,3.67881499556786e-39,6.18426931223165e-39,6.56716049100151e-39,3.42941176448263e-39,3.73136456920504e-35,6.55255282342211e-39,1.88451208504382e-36,3.25870364159398e-15,4.14427161487297e-13,1.84736477392253,3.08763721537222,3.61406247647211e-39,3.31645777281314e-39,51,750
6.89692833075578e-38,4.27886211297739e-35,8.90221069227918e-38,6.94130000591112e-38,1.18609784550898e-37,1.05109414013842e-37,4.44646501393769e-37,1.23725070475299e-37,2.22163806718555e-37,2.5446775064354e-37,8.22264299166823e-38,7.45267760287686e-38,4.87212125562207e-34,6.75499886502074e-38,8.79385596860126e-28,4.26536059247892e-14,0.0115460030151288,49956963443.7689,4.93020023757882e+26,2.29938951457032e-37,6.7820108816423e-38,52,750
3.33359937482981e-37,1.24648181466421e-31,1.50227313763418e-37,3.87816851162991e-37,1.39687489517772e-37,2.29385236592282e-37,1.45688465676334e-37,1.5287847371547e-37,2.42976434284163e-37,3.58964809267596e-37,3.19379487690145e-36,3.53937681419644e-37,7.09952127047419e-31,3.48268112379712e-37,5.68082045358258e-32,1.77905922726821e-13,7361351.3029833,1078572922.64128,17136410080032018,1.88666525528651e-37,1.83894778873973e-37,53,750
2.02083100406613e-38,3.58136672676028e-35,3.29965769093436e-38,1.54136919397486e-38,1.16779480836483e-38,1.28243916257133e-38,2.40141180637596e-38,1.19522005666445e-38,2.91428839101449e-38,1.0901065349816e-38,3.30159595307031e-38,1.0206083056692e-38,9.24250362072869e-37,1.43272368316328e-38,1.22034002168161e-29,8.76595238297524e-17,9.53418555455201e-09,1768.72701467717,62613771459613856,1.98577638478104e-38,1.29476844076433e-38,54,750
1.50751725611993e-36,9.38742144854679e-33,3.54007414010787e-36,1.99995652367684e-36,9.30250969667028e-37,9.42801228787582e-37,9.36199643479446e-37,1.3274344697926e-36,1.0334279185596e-36,1.93021539077534e-34,8.52320720838678e-36,9.30407684691171e-37,4.96651172172846e-33,1.25927781506113e-36,1.35169446579684e-30,1.57223449469304e-10,0.000421829219123122,690428.061688732,13873.5373321487,2.03773958751493e-36,1.51859798714514e-36,55,750
8.85902839974871e-41,2.77993967315801e-38,9.12492066886185e-41,1.13037460854429e-40,1.28236443482081e-40,9.10067066219629e-41,8.61665649361897e-41,9.72450892260353e-41,9.02354809546349e-41,2.40109970634138e-40,9.30343623632071e-41,9.32259963859673e-41,8.32296192368665e-37,9.03390615512514e-41,2.67774824049904e-33,3.90852980558484e-17,4.64256771373206e-10,0.000238741743750497,179240468.886993,8.5921051395678e-41,9.54679505522979e-41,56,750
3.12253845364048e-35,6.0633900587905e-35,1.14239199768983e-34,5.83078595971367e-35,3.24035469407292e-35,5.68091937239967e-35,2.61340895543639e-34,3.12176237523718e-35,3.9170596048611e-35,3.85681429631816e-35,5.39027221732968e-35,1.34725022610287e-34,5.08793749442138e-31,2.53178108256393e-35,4.36786144812718e-29,4.81102022709017e-21,1.20765130711544e-05,4663850709725.28,3756020.136078,3.24587308915498e-35,2.54631644517139e-35,57,750
1.89008608154216e-38,1.8204592453895e-37,1.30631699578074e-38,1.49349649859753e-38,2.52691091944141e-38,1.34227562782e-38,1.73471513535783e-38,1.28149811539817e-38,2.5578316534547e-38,1.36540078170495e-38,1.81508586706413e-37,2.33625797499506e-38,6.69512490551063e-37,1.37294409107981e-38,2.40836650868648e-32,4.06911930843236e-10,3857.24854581226,45472.9798541844,551991441.578478,1.27580050885242e-38,3.61511622352284e-38,58,750
4.77371329353751e-37,1.04051184816302e-35,1.9713245717891e-37,1.87935513696805e-36,2.79566495768723e-37,2.12322684231923e-37,2.11489448989301e-37,2.11564994924346e-37,1.96579701854111e-37,4.07358364594572e-37,3.06449187136398e-37,8.34050813147905e-37,9.53114391835484e-35,6.66219414587195e-37,2.0891275758761e-30,2.37821190357799e-11,420054.637698436,134217512678.078,1.01611496458756e+23,5.09492465617048e-37,2.067031019762e-37,59,750
