"A","B","C","D","E","F","G","H","I","J","sim","n","type"
-0.304325313684264,0.502317794130954,0.690228828848545,0.693145486611494,0.693147180522549,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,50.5,10000,"calib2"
-0.591294259838152,-0.825479603580711,-0.619794507068212,-0.299932331552597,-0.374271306435407,-0.168566651120473,0.0540537849304019,1.4831048709924,3.19746527100486,5.06377616630075,50.5,100,"calib3"
-0.969743967031751,-0.918453872411921,-0.43679600601583,-0.188762842910003,0.476991427080284,0.70825024081393,1.3027910097782,3.57428784701074,7.15430102801588,11.7546569843212,50.5,250,"calib3"
-0.928915914568927,-0.937323989162999,-0.465961460368936,0.138414620983265,1.51143028756378,2.08070392519298,2.73800672337028,6.68320447688754,13.7585764811509,21.5681177377804,50.5,500,"calib3"
-1.0820222805093,-0.530952821868981,-0.00984842116006452,0.916028823335582,1.61751422608899,2.57024095015195,4.13681234266962,9.17232818495448,19.2467449691589,32.0563575236192,50.5,750,"calib3"
-0.662025082497526,-0.555256724286491,0.193029132121185,1.4203329076175,2.76740315523055,3.61131386955477,4.84810213672283,12.4875973717582,25.8732799589095,41.5808487588331,50.5,1000,"calib3"
-0.970234683637235,-0.337955895301586,0.743071736268351,2.04777052994827,3.50409325361459,5.32787943623577,7.36304270931782,18.0740357559969,37.1172557629728,63.2820829377201,50.5,1500,"calib3"
-1.06312584537503,-0.383231290193231,1.30336965443777,2.70885603665577,4.6981913765954,6.80438523413545,9.4508166483564,24.0452990958938,49.8154068631218,83.9589308065433,50.5,2000,"calib3"
-0.810108957031862,-0.135195877941786,1.4897056031583,3.49278901713764,5.3379529538719,7.75146052302214,11.7014310446494,29.1889531587606,62.9336653759674,106.140542303089,50.5,2500,"calib3"
-0.912628127009983,0.25903200414476,3.12647793228669,6.17858879189783,10.5113969201013,15.8007104014586,21.427309556377,56.941248198695,122.047889956425,208.583731176024,50.5,5000,"calib3"
-1.02456902518516,1.65011675728011,5.54378705690944,11.4298239487506,19.5239090625253,30.9557852265728,41.2705639131511,111.198181344748,243.235571181921,Inf,50.5,10000,"calib3"
-0.279954894734098,-0.478859190968454,-0.296190673659663,-0.0781308882932551,-0.10646909320542,0.020891714562466,0.190077885434226,1.0664498874811,1.69095674363074,2.23500913742894,50.5,100,"calib4"
-0.566495980200872,-0.528932640497114,-0.14012413844112,0.050911842066612,0.430954507281802,0.553529540185904,0.893210346818027,1.87684265457428,2.59010622028429,3.11723884349056,50.5,250,"calib4"
-0.513045339134219,-0.509588939372267,-0.180307743288104,0.252937922571995,1.02224262195051,1.34336893140328,1.57854132393311,2.5167427902002,3.28794633803805,3.74522116228417,50.5,500,"calib4"
-0.652156994373135,-0.244408037750626,0.138445543366934,0.6934467135587,1.10756249648633,1.49662158464318,2.01576050394235,2.85190925980179,3.62985834266128,4.14543523480569,50.5,750,"calib4"
-0.308975961753942,-0.240329759603825,0.184769177124463,1.03529232510517,1.5878514397254,1.86411610035291,2.1961357826722,3.18836599947502,3.93270523942119,4.40966794170908,50.5,1000,"calib4"
-0.537409745123641,-0.0803607162565329,0.637873366529504,1.30446658577475,1.84765800077253,2.29706775327622,2.62395480668058,3.55634757571005,4.29422554191398,4.83441284214214,50.5,1500,"calib4"
-0.607819832148119,-0.105476710024377,0.879595269626504,1.57935194653444,2.16568832631888,2.53298100134365,2.8800355004421,3.854038300215,4.59299362043655,5.11854968572009,50.5,2000,"calib4"
-0.41084088169383,0.0369486324961349,1.03720497988913,1.84833068051596,2.28394707340373,2.6888278840818,3.11642413766732,4.05300689164327,4.83029907039113,5.35386177989441,50.5,2500,"calib4"
-0.509382319214867,0.335023429399708,1.70213037440408,2.43322626349152,3.00279621284355,3.41902372591976,3.74123392418921,4.72764443123536,5.49215989808276,6.03188396060285,50.5,5000,"calib4"
-0.585636443432217,1.10557930859467,2.32853230340082,3.08538872710573,3.63926177470208,4.11176145459669,4.40250995346761,5.39997181991391,6.18536069078251,Inf,50.5,10000,"calib4"
