"(Intercept)","`1`","`10`","`11`","`12`","`13`","`14`","`15`","`16`","`17`","`18`","`19`","`2`","`20`","`3`","`4`","`5`","`6`","`7`","`8`","`9`","sim","n"
6.40334897856958e-116,2.07175816323704e-47,9.21638328235609e-116,1.00865252690118e-115,6.37104301880377e-116,1.32442533378139e-115,6.98298037687469e-116,9.75620567173567e-116,4.77995036971818e-115,6.40900765366356e-116,6.88666567114722e-116,6.62814313643126e-116,4.47367258090985e-11,7.95433938282186e-116,2.43150690565781e+66,Inf,Inf,Inf,Inf,6.37202029934242e-116,8.02274034883782e-116,33,1200
1.15643538614516e-112,6.10469793795522e-52,1.18452533131078e-112,3.33731460489657e-112,1.52953998128553e-112,1.5453710468506e-112,2.00595266781726e-112,1.29460112442226e-112,1.3891481692511e-112,1.95899685578011e-110,1.28923379205616e-112,3.6823521102504e-112,3.37740089461807e-30,1.94784358888068e-112,4.65919201167414e+66,Inf,Inf,Inf,Inf,1.28904388182035e-112,1.45717147573267e-112,34,1200
1.72959343354444e-112,5.57952356831312e-63,1.78382525404018e-112,3.58266976917337e-112,3.45442862413196e-112,9.3934479214307e-112,1.70110066951304e-112,1.71488576893013e-112,3.09185783028481e-112,1.79103570909365e-112,5.15067444646356e-112,7.60058187961291e-111,0.000124116993502772,2.06731530542153e-112,8.18682886439544e+81,Inf,Inf,Inf,Inf,3.00519278858973e-112,2.44883992800672e-112,35,1200
1.17684601891443e-113,8.18195899659652e-53,1.48181413660155e-113,1.56512617455442e-113,1.37683885789006e-113,1.08197707245474e-113,2.09768672987993e-113,1.08594444568843e-113,1.61081098711289e-113,2.35445644400936e-113,3.27230454899936e-113,1.24695384072523e-113,3.89675947920187e-08,3.62614661976385e-113,8.91580072076844e+64,9.89227969421167e+304,Inf,Inf,Inf,1.10318784892361e-113,1.15497205839541e-113,36,1200
1.58948797645242e-110,1.12464451578849e-59,6.21959275884065e-111,8.98569854629158e-111,1.46250399853003e-110,7.42782369092538e-111,7.21962736316952e-111,9.68588702236562e-111,6.22885461909111e-111,6.23522715831557e-111,7.16347091754597e-111,7.5771562033606e-111,2.3726788861089e-19,1.10830865441727e-110,2.5635178082325e+53,2.79836081263292e+299,Inf,Inf,Inf,8.48703636575145e-111,7.6886500053541e-111,37,1200
1.28360380815456e-115,4.30228932038414e-41,3.86244543003439e-115,1.30149830297136e-115,7.45521693156701e-115,9.67188226803e-115,1.83150438468946e-115,1.28598307523703e-115,1.28318118126359e-115,1.62914320457911e-115,1.63660625850874e-115,3.78561094675555e-115,3.37386016236762e-18,1.52154198836664e-114,9.1292574321625e+66,Inf,Inf,Inf,Inf,6.97224734232788e-115,7.13493365558361e-115,38,1200
4.06547209337917e-111,7.89745806793238e-52,1.10054261070274e-111,3.31093281481019e-111,5.39236699322993e-111,1.43968107864116e-111,1.120941526564e-111,1.25319699877498e-111,1.25799431812483e-111,1.49715282217493e-111,1.35945074728777e-111,5.23651083774353e-111,2.57963528707453e-15,1.99419232874733e-111,9.49878117243532e+76,Inf,Inf,Inf,Inf,1.33754751889654e-111,2.10542540400099e-111,39,1200
3.28257957402931e-113,2.66884990082533e-51,2.71973138564762e-113,3.88719231538729e-113,3.26199645444692e-113,4.13392928977357e-113,9.37220266776906e-113,4.64261955599593e-113,5.22557817184909e-113,2.67975875358718e-113,3.37429397494688e-113,2.76355322378766e-113,1.17486902654155e-13,2.81753345465447e-113,1.66142976114304e+71,Inf,Inf,Inf,Inf,3.34567913221928e-113,2.78941019414632e-113,40,1200
6.35501325664759e-115,6.56012960449472e-61,5.66586237816748e-115,5.87229941641712e-115,7.93092797261564e-115,5.73500114097805e-115,3.00950182597854e-114,7.13829528758737e-115,6.338013368344e-115,5.72715665716124e-115,1.06245315450196e-114,7.66986881628331e-115,1.04859064481506e-13,8.87041606362486e-115,4.43870394975418e+71,Inf,Inf,Inf,Inf,6.1228807665485e-115,1.00044499128744e-114,41,1200
1.02827763714169e-112,4.90578626063569e-55,1.07064344095376e-111,1.01816023333513e-112,1.04429776594756e-112,4.00653231239002e-112,1.24804003256759e-112,2.18762340859011e-112,1.0379936200939e-112,3.57183855492748e-112,1.20089596529827e-112,5.41265502001051e-112,1.34078742710387e-05,9.59643950772911e-113,2.85143488190515e+75,1.32998965869214e+303,Inf,Inf,Inf,1.93596288729434e-111,4.94030908868103e-112,42,1200
4.21761091712136e-113,6.61097637431067e-70,1.56464360422758e-113,1.30427320436279e-113,3.74049113616347e-113,4.2074377868387e-113,1.26402397344716e-113,2.43364698443801e-113,2.00277907851501e-113,1.24725188182436e-113,2.96159666729129e-113,1.58485383671108e-113,3.83654661089598e-17,3.61144447301589e-113,9.65865374237197e+75,Inf,Inf,Inf,Inf,2.11413030318922e-113,4.28094751121151e-113,43,1200
2.48829649341461e-114,1.83372891544511e-50,2.12401828034003e-114,1.84006575585173e-114,1.65624854600388e-114,2.40897790853749e-114,2.53367714865434e-114,1.61349879280945e-114,1.94887132001529e-114,1.8767290929643e-114,1.86970239410793e-114,1.62715466381827e-114,1.80439691076415e-16,1.93193732030727e-114,3.67577085524036e+75,Inf,Inf,Inf,Inf,7.64809890373581e-114,1.66559989515874e-114,44,1200
