"(Intercept)","X1","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X2","X20","X3","X4","X5","X6","X7","X8","X9","sim","n"
2.99571227589557e-51,7.67883940059614e-47,3.08107122014715e-51,3.0850527843531e-51,4.85955099281643e-50,3.61593769485566e-51,3.02692940199317e-51,3.32701610217812e-51,3.21144909963313e-51,3.16918826997773e-51,1.35360272699737e-50,1.69387886630553e-50,4.76369477306931e-34,2.87559501665601e-50,3.87243421082711e-20,1013440.16322,2.33245563906814e+25,1.46875087755123e+33,2.01865596057409e+51,2.98793685808837e-51,2.17728630668235e-50,36,300
2.62503213596133e-53,1.24541739238093e-49,6.19322602004078e-53,1.54427866409543e-53,4.26740264276211e-54,3.95282569772796e-54,6.42719315649251e-54,3.73260237855599e-54,7.46156659418699e-54,3.7305285133861e-54,6.40703174573002e-54,4.03752762633777e-54,4.01821510830247e-39,4.56291889889352e-54,9.82353629982081e-18,4.27088392914191e+24,3.34446718724556e+26,5.85536862948019e+31,1.40942341176425e+67,3.78387885379052e-54,1.21648165108137e-53,37,300
1.99588135906707e-51,2.95798978284276e-45,4.3778661081428e-52,4.6809223944645e-52,5.27560048006981e-52,9.38554921909635e-51,5.12135860926441e-52,4.31849106638346e-52,5.05945988517024e-52,5.38132514033065e-52,4.93427454530854e-51,4.70492002185836e-52,4.55454984721453e-42,8.4663226811614e-52,1.90727908928855e-28,0.0367110223200949,131303183781512832,3.84395901448425e+35,2.19116263459605e+54,4.38213954809479e-52,4.48214667071253e-52,38,300
4.08241430851916e-53,1.20146570170557e-41,4.49684525940314e-53,1.38015466373646e-52,4.02796083206563e-53,5.21768410251035e-53,6.56993251485663e-52,7.33150966411509e-52,1.27082010137008e-52,1.73835412223905e-52,4.0189968885698e-53,4.07266836978306e-53,5.69865008619938e-42,4.90157796348826e-53,5.28478503467387e-25,91400349408.2215,1.08336446975429e+39,4.58934168691134e+42,1.34703042063037e+59,1.36254023910541e-52,4.25876065044649e-53,39,300
7.74554046949127e-53,6.23548460296561e-46,6.69605830005416e-53,4.93647970873459e-53,4.16881287810905e-53,4.27212774996448e-53,4.29854331900124e-53,8.13907949846568e-53,7.09884213043488e-53,5.04194540693173e-53,3.7993781488396e-53,4.00319880858549e-53,1.3454687206268e-37,7.65974237892052e-53,1.50170862118179e-31,4565992023.02271,8.98679979337155e+24,2.50315132064703e+40,5.43639430713446e+51,4.27217209462006e-53,3.73920009634624e-53,40,300
4.91986861680426e-54,8.15235650034923e-47,5.32063145730661e-54,1.02766433073314e-53,4.82737418706385e-54,7.13684925025013e-54,9.6502735545171e-54,4.87775239241213e-54,6.33594656368178e-54,9.25704377063096e-54,1.46227625822632e-53,4.84078477442339e-54,4.59076840109517e-40,5.58942633332512e-54,2.58711779562876e-30,1507791245769834,1.31352289685199e+31,7.04919260359353e+41,5.16636812047564e+58,5.09457849415861e-54,6.66330745950689e-54,41,300
4.00544219958923e-53,3.72667033095045e-35,3.93815574511183e-53,6.79198065337092e-53,3.80677324242531e-53,3.90407045000049e-53,4.31294370877972e-53,4.33802759229185e-53,7.89183905461684e-53,3.79297775084827e-53,5.36335984194937e-53,2.23908881407164e-52,3.21944377627082e-38,4.01661527390517e-53,3.9732889167249e-25,2662268.47258682,1.27304947233902e+33,2.88864708406574e+36,2.18448207169023e+60,1.66608330809337e-52,4.43255411767896e-53,42,300
3.41866029977057e-51,1.75155171448351e-44,9.18673634967549e-52,8.23645930462299e-52,8.52479136644704e-52,8.562117090868e-52,8.72928638980753e-52,2.39075423250067e-51,1.27934740787165e-51,3.23277679117491e-51,8.43765230460892e-52,3.06727005436807e-51,2.35129619219474e-39,1.48856437509908e-51,7.38338851691395e-31,21954.9927698013,2.74719686102937e+23,7.87804998849153e+30,6.19990334116385e+50,9.24174707551672e-52,8.19024746979152e-52,43,300
4.98853067977256e-52,1.51941756470095e-43,3.82679787533376e-52,3.71527466009043e-52,1.92163773390508e-52,7.06895881196054e-52,2.12306729680069e-52,3.36904008364677e-52,2.09685262428583e-52,2.24314727436239e-52,1.92487860273045e-52,8.74083326824528e-51,2.58824006773018e-37,6.82050084690146e-51,5.37516678022391e-32,117417083519323,2.76430881192644e+36,1.29997195502406e+44,2.00551455263988e+56,2.03476507794904e-52,3.40997377256013e-52,44,300
9.39949200691883e-52,5.62287491893946e-46,4.45792305578563e-52,4.87538775957587e-52,4.13700663869271e-52,3.93862931600194e-52,4.41307924361896e-52,4.90529520953577e-52,5.10275923821046e-52,4.15381773052391e-52,4.36407001216959e-52,5.23518974397469e-52,1.24699868474977e-39,5.01597106684924e-52,1.02691095742548e-26,15.868560310599,10112494958455044,1.19290329604794e+27,3.44804953725749e+41,4.86164993470458e-52,5.23848567208047e-52,45,300
6.18210825676566e-52,2.21611951817164e-45,6.20191322924277e-52,1.8560831100632e-51,3.38205186544872e-51,1.13754590517914e-51,6.15596392157758e-52,9.40493710884007e-52,1.14833569403117e-50,6.1718227364347e-52,6.15312293940723e-52,6.39695764138142e-52,2.77625746440774e-34,8.51519890895165e-52,8.05032739765987e-25,2404203.48435938,1.4776017677052e+30,7.12654259474249e+36,1.9045826762008e+60,6.0227764509141e-51,3.61453895456522e-51,46,300
1.70314424436335e-50,3.61069868162793e-43,3.52276443423364e-50,2.94253319054954e-51,1.94530271279698e-51,5.12912546462587e-51,2.20727610711295e-51,2.50462936742607e-51,2.28741247135513e-51,1.48055091621525e-50,2.07534532271088e-51,1.99810653185658e-51,1.08833697062258e-41,1.92982979181711e-51,5.00781260794603e-32,0.00488557404775279,1.80818480421888e+28,3.68973736661693e+37,9.47475211686391e+49,2.54024683938986e-51,4.50084378030237e-51,47,300
2.51058009015908e-52,4.15199925370665e-43,8.52065108080785e-53,2.49026502686286e-52,9.11575706351609e-53,5.09869959886116e-52,1.72361809273529e-52,2.17939616722611e-52,1.02094088408268e-52,8.5470040776775e-53,1.38379578200551e-52,4.49917218277383e-52,6.69669893142167e-41,1.9029680362366e-52,1.0574795397142e-22,778772421934.105,7.25518829675122e+32,1.22658372648754e+43,2.71558825136295e+51,1.47832322683963e-52,8.84534695558298e-53,48,300
4.51647427575354e-52,6.53653530323789e-47,2.49706459986699e-52,2.05825842604864e-52,2.80447913078398e-52,1.48167765904467e-52,4.26700434742158e-52,1.91784911759519e-52,1.54260844843714e-52,1.59842469884663e-52,1.58136624434149e-52,2.28297976755963e-52,2.36804413588473e-36,1.55197139425261e-52,8.58631523395758e-27,7195.80872061977,14267889048925900800,3.58547946510625e+42,1.7638515903849e+53,1.80878180657057e-52,2.8504296948846e-52,49,300
1.86682540804986e-54,1.00187617011704e-44,1.38324659738882e-54,1.46048478756398e-54,1.36895069260593e-54,1.45834677361883e-54,1.78618956509059e-54,1.42019212399156e-54,1.42628216574781e-54,1.40377727554201e-54,1.35498238617115e-54,1.73978501636777e-54,1.71656237830518e-39,1.79048040143288e-54,6.38325553307353e-31,514451181533.124,2.76277815787333e+24,1.74997495020804e+35,2.10708277782224e+55,1.3835586339506e-54,1.38811683172494e-54,50,300
2.86355891350079e-56,3.98229534176984e-51,2.9655857187454e-56,3.80209777304129e-56,2.87366241530642e-56,4.40626470824253e-56,3.07632623816534e-56,3.76719700508832e-56,3.93638578079231e-56,3.19324636789677e-56,3.23034858485875e-56,3.2211421504014e-56,3.98016770250905e-34,2.8584893974686e-56,6.43525530713027e-21,52330.0280300117,5.20512982220656e+33,8.3344425086683e+45,2.18053402445957e+55,4.51395044889555e-56,3.88895273843172e-56,51,300
1.18297463658249e-54,1.56834827076598e-42,1.79355844119024e-54,1.14005163062897e-54,2.10126670819925e-54,4.42912917593829e-54,1.50737143846253e-54,1.11769068496705e-54,1.46063124393912e-54,1.66829267160343e-54,3.71694530702061e-54,1.2778865765182e-54,1.20230442134384e-37,5.45864677933979e-54,1.0926470624213e-28,3.36067128976369e+27,2.98559074316249e+34,5.56208777718315e+40,5.6362172785564e+56,1.35753760266784e-54,1.69323949206432e-54,52,300
1.32473483103884e-53,2.34288091541972e-43,2.31452541783011e-53,1.59351738404602e-53,8.61721380269793e-54,1.10560724578233e-53,3.34430202483693e-53,8.63611720131051e-54,1.0597314389369e-52,1.02732927347922e-53,9.15780010123239e-54,1.00503132690103e-53,8.48625270455147e-41,8.89816938044922e-54,2.63306494480602e-29,6432876172.2361,1.69319810926283e+24,5.47074987047867e+46,4.56074866992445e+53,8.87463483442074e-54,8.62546371663053e-54,53,300
2.19651351554306e-53,7.82417236102952e-48,3.73636830049908e-53,2.75809459706838e-53,3.51861257244894e-53,2.1332256278851e-53,1.81123600917014e-52,2.5759893491316e-53,2.77423813125996e-53,1.8903150951107e-53,4.18422729389314e-53,3.61291989338782e-53,4.2670009783614e-38,1.85337285107265e-53,1.08587700452108e-26,10.2785964669625,3.44691442689089e+36,2.24785081394054e+49,1.24192356029033e+57,1.77964488357865e-53,3.45068386734642e-53,54,300
3.42565435212508e-52,1.62183586332252e-46,2.97916804386712e-52,7.77006384703131e-51,3.13025298012063e-52,3.67997499097435e-52,3.35077342204775e-52,6.52499415746417e-52,8.64358983932187e-52,6.53047901541768e-52,3.7331235266968e-52,4.62796629818636e-52,1.79624459030734e-30,2.95089227725772e-52,1.26714368270805e-16,337.491563887288,2.04801415583319e+29,3.88360555014694e+40,1.27723167153731e+47,4.75277734815219e-52,4.16410513236577e-52,55,300
